,SL,STATE/UT,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,GraveCrimes,TotalCrimes,PettyCrimes,GraveCrimeRatio,PettyCrimeRatio
18,19,LAKSHADWEEP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,15.0,15.0,0.0,1.0
17,18,KERALA,680.0,941.0,123.0,659.0,0.0,659.0,340.0,221.0,119.0,376.0,658.0,935.0,1986.0,3509.0,941.0,2568.0,39040.0,319.0,2736.0,55.0,301.0,29045.0,34.0,3585.0,604.0,7522.0,0.0,76.0,103988.0,5711.0,202020.0,196309.0,0.02826947826947827,0.9717305217305218
13,14,HIMACHAL PRADESH,193.0,198.0,17.0,197.0,0.0,197.0,161.0,101.0,60.0,1.0,0.0,18.0,450.0,680.0,133.0,547.0,3359.0,96.0,262.0,5.0,99.0,2046.0,4.0,418.0,73.0,677.0,0.0,362.0,9452.0,1143.0,19806.0,18663.0,0.05770978491366253,0.9422902150863375
26,27,PUDUCHERRY,163.0,57.0,24.0,5.0,0.0,5.0,31.0,22.0,9.0,14.0,53.0,11.0,61.0,141.0,54.0,87.0,967.0,5.0,91.0,0.0,5.0,1610.0,4.0,71.0,28.0,9.0,0.0,245.0,1984.0,394.0,5756.0,5362.0,0.0684503127171647,0.9315496872828353
1,2,ANDHRA PRADESH,4239.0,3173.0,266.0,1761.0,0.0,1761.0,2543.0,1722.0,821.0,490.0,18.0,1048.0,6543.0,20808.0,4600.0,16208.0,9455.0,1025.0,8823.0,237.0,972.0,68228.0,1322.0,4622.0,3820.0,21572.0,0.0,11851.0,55789.0,17842.0,253717.0,235875.0,0.07032244587473445,0.9296775541252655
11,12,GUJARAT,2116.0,1982.0,89.0,617.0,0.0,617.0,2015.0,1651.0,364.0,938.0,98.0,1980.0,3081.0,9697.0,3988.0,5709.0,11506.0,1844.0,2044.0,51.0,459.0,22554.0,28.0,986.0,131.0,16877.0,0.0,4455.0,78495.0,12467.0,174372.0,161905.0,0.07149657055031772,0.9285034294496823
28,29,RAJASTHAN,2061.0,3780.0,131.0,1343.0,0.0,1343.0,1953.0,1281.0,672.0,172.0,440.0,1387.0,3135.0,7749.0,3479.0,4270.0,4746.0,317.0,5102.0,60.0,584.0,34767.0,616.0,2598.0,22.0,9113.0,0.0,6649.0,90812.0,14563.0,188582.0,174019.0,0.07722370109554465,0.9227762989044553
19,20,MADHYA PRADESH,5521.0,7144.0,239.0,4387.0,0.0,4387.0,1684.0,1303.0,381.0,593.0,559.0,2890.0,6233.0,10946.0,3356.0,7590.0,18028.0,663.0,2412.0,55.0,1223.0,81474.0,2564.0,7863.0,1182.0,10253.0,19.0,6139.0,171121.0,29088.0,360209.0,331121.0,0.08075311832852594,0.9192468816714741
30,31,TAMIL NADU,4185.0,6108.0,39.0,777.0,0.0,777.0,2126.0,1532.0,594.0,364.0,39.0,2174.0,4123.0,12536.0,3217.0,9319.0,15593.0,128.0,2924.0,173.0,732.0,35809.0,313.0,1946.0,739.0,2981.0,0.0,11982.0,105840.0,18715.0,227070.0,208355.0,0.08241951821024354,0.9175804817897565
14,15,JAMMU & KASHMIR,318.0,930.0,31.0,266.0,0.0,266.0,570.0,509.0,61.0,4.0,0.0,82.0,658.0,2489.0,264.0,2225.0,5970.0,280.0,621.0,33.0,165.0,654.0,26.0,2053.0,295.0,418.0,0.0,470.0,15308.0,3037.0,34966.0,31929.0,0.08685580277984328,0.9131441972201567
10,11,GOA,44.0,58.0,6.0,50.0,0.0,50.0,43.0,15.0,28.0,18.0,0.0,75.0,316.0,621.0,205.0,416.0,319.0,44.0,105.0,3.0,29.0,290.0,5.0,37.0,22.0,41.0,0.0,222.0,984.0,387.0,4046.0,3659.0,0.09565002471576867,0.9043499752842313
20,21,MAHARASHTRA,5725.0,6838.0,260.0,2180.0,0.0,2180.0,2325.0,1470.0,855.0,3942.0,1348.0,5696.0,13564.0,31545.0,7492.0,24053.0,53016.0,2505.0,9508.0,203.0,1534.0,59092.0,1438.0,4386.0,1515.0,28261.0,0.0,10415.0,60333.0,32819.0,341679.0,308860.0,0.09605214250802654,0.9039478574919735
7,8,D&N HAVELI,7.0,0.0,1.0,3.0,0.0,3.0,20.0,7.0,13.0,11.0,0.0,0.0,38.0,62.0,25.0,37.0,199.0,16.0,21.0,0.0,0.0,24.0,0.0,12.0,2.0,14.0,0.0,26.0,129.0,65.0,670.0,605.0,0.09701492537313433,0.9029850746268657
16,17,KARNATAKA,3631.0,4660.0,90.0,771.0,0.0,771.0,1389.0,751.0,638.0,1089.0,1323.0,1851.0,3159.0,7456.0,2720.0,4736.0,28105.0,514.0,3846.0,121.0,228.0,32213.0,621.0,3411.0,22.0,6515.0,0.0,525.0,60078.0,16964.0,171234.0,154270.0,0.0990691101066377,0.9009308898933623
29,30,SIKKIM,17.0,8.0,1.0,21.0,0.0,21.0,13.0,13.0,0.0,5.0,0.0,12.0,146.0,128.0,17.0,111.0,16.0,18.0,125.0,6.0,9.0,80.0,2.0,23.0,0.0,4.0,0.0,98.0,214.0,111.0,1108.0,997.0,0.10018050541516245,0.8998194945848376
6,7,CHHATTISGARH,1727.0,1449.0,40.0,1198.0,0.0,1198.0,439.0,352.0,87.0,461.0,74.0,810.0,2291.0,3265.0,824.0,2441.0,6867.0,153.0,814.0,51.0,295.0,17272.0,277.0,1969.0,261.0,2450.0,5.0,2020.0,28562.0,7835.0,77652.0,69817.0,0.10089888219234533,0.8991011178076547
4,5,BIHAR,5207.0,5418.0,547.0,892.0,0.0,892.0,4518.0,2503.0,2015.0,1477.0,187.0,1926.0,2144.0,9740.0,3084.0,6656.0,36028.0,1314.0,3063.0,84.0,940.0,23058.0,2508.0,808.0,22.0,3850.0,26.0,3459.0,89073.0,25582.0,211439.0,185857.0,0.12098997819702137,0.8790100218029786
23,24,MIZORAM,57.0,33.0,20.0,112.0,0.0,112.0,11.0,0.0,11.0,1.0,0.0,18.0,347.0,721.0,74.0,647.0,0.0,29.0,77.0,19.0,26.0,154.0,0.0,79.0,0.0,3.0,0.0,34.0,487.0,375.0,3072.0,2697.0,0.1220703125,0.8779296875
34,35,WEST BENGAL,3746.0,1869.0,809.0,2395.0,0.0,2395.0,2698.0,2254.0,444.0,922.0,2574.0,1034.0,360.0,15051.0,2156.0,12895.0,18018.0,1086.0,2882.0,324.0,378.0,15293.0,1124.0,1841.0,165.0,18387.0,11.0,2699.0,52929.0,21140.0,166739.0,145599.0,0.1267849753207108,0.8732150246792892
9,10,DELHI,953.0,621.0,80.0,602.0,0.0,602.0,512.0,366.0,146.0,164.0,153.0,1263.0,1002.0,7401.0,3311.0,4090.0,427.0,180.0,1036.0,42.0,29.0,3125.0,209.0,794.0,89.0,878.0,0.0,566.0,13372.0,5462.0,42013.0,36551.0,0.13000737866850737,0.8699926213314927
12,13,HARYANA,1961.0,1792.0,106.0,866.0,0.0,866.0,903.0,543.0,360.0,457.0,898.0,1210.0,2588.0,6754.0,3436.0,3318.0,5169.0,698.0,1619.0,56.0,300.0,9002.0,589.0,605.0,635.0,4057.0,0.0,1247.0,22725.0,9962.0,72760.0,62798.0,0.1369158878504673,0.8630841121495327
0,1,A&N ISLANDS,7.0,39.0,5.0,39.0,0.0,39.0,18.0,11.0,7.0,0.0,0.0,9.0,66.0,89.0,15.0,74.0,51.0,8.0,29.0,0.0,10.0,105.0,0.0,40.0,14.0,12.0,0.0,9.0,478.0,174.0,1174.0,1000.0,0.14821124361158433,0.8517887563884157
33,34,UTTARAKHAND,324.0,395.0,184.0,171.0,0.0,171.0,346.0,293.0,53.0,54.0,7.0,235.0,291.0,1452.0,451.0,1001.0,2104.0,109.0,505.0,33.0,4.0,1492.0,168.0,184.0,282.0,625.0,0.0,702.0,3125.0,2233.0,14761.0,12528.0,0.1512770137524558,0.8487229862475442
25,26,ODISHA,2051.0,2824.0,105.0,1363.0,0.0,1363.0,1297.0,1070.0,227.0,2008.0,555.0,2571.0,3620.0,7098.0,1968.0,5130.0,9961.0,559.0,1532.0,55.0,642.0,11357.0,988.0,4116.0,354.0,4840.0,5.0,4084.0,27790.0,15434.0,99533.0,84099.0,0.15506414957853173,0.8449358504214682
5,6,CHANDIGARH,45.0,76.0,18.0,44.0,0.0,44.0,51.0,23.0,28.0,24.0,36.0,105.0,153.0,492.0,168.0,324.0,257.0,7.0,140.0,4.0,7.0,75.0,10.0,28.0,2.0,18.0,0.0,6.0,985.0,494.0,3170.0,2676.0,0.15583596214511042,0.8441640378548896
15,16,JHARKHAND,2095.0,1692.0,103.0,836.0,0.0,836.0,1040.0,710.0,330.0,604.0,98.0,707.0,741.0,3056.0,1013.0,2043.0,9103.0,441.0,896.0,31.0,241.0,7272.0,567.0,273.0,20.0,1600.0,15.0,1189.0,19063.0,9051.0,56615.0,47564.0,0.1598692925903029,0.8401307074096971
3,4,ASSAM,1537.0,471.0,43.0,1629.0,5.0,1624.0,3190.0,2687.0,503.0,816.0,69.0,1094.0,3970.0,9079.0,1357.0,7722.0,10112.0,1000.0,1271.0,88.0,826.0,8132.0,263.0,2020.0,35.0,6208.0,0.0,2471.0,15566.0,13668.0,83788.0,70120.0,0.16312598462787034,0.8368740153721297
27,28,PUNJAB,1547.0,2613.0,181.0,766.0,0.0,766.0,1007.0,646.0,361.0,163.0,704.0,468.0,2350.0,4749.0,1652.0,3097.0,0.0,354.0,4733.0,127.0,157.0,9382.0,288.0,454.0,42.0,2159.0,0.0,2623.0,14183.0,9222.0,55572.0,46350.0,0.1659468797236018,0.8340531202763982
31,32,TRIPURA,176.0,77.0,9.0,320.0,0.0,320.0,133.0,106.0,27.0,35.0,6.0,115.0,223.0,435.0,27.0,408.0,352.0,53.0,127.0,9.0,52.0,1479.0,62.0,456.0,9.0,1172.0,0.0,235.0,1300.0,1324.0,7723.0,6399.0,0.1714359704777936,0.8285640295222064
2,3,ARUNACHAL PRADESH,103.0,58.0,3.0,49.0,0.0,49.0,81.0,48.0,33.0,33.0,0.0,116.0,176.0,376.0,109.0,267.0,100.0,42.0,92.0,0.0,30.0,595.0,0.0,88.0,1.0,11.0,0.0,83.0,788.0,573.0,3331.0,2758.0,0.172020414290003,0.827979585709997
8,9,DAMAN & DIU,19.0,8.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,27.0,0.0,0.0,20.0,32.0,16.0,16.0,41.0,6.0,7.0,0.0,0.0,16.0,0.0,2.0,0.0,6.0,0.0,26.0,54.0,57.0,299.0,242.0,0.19063545150501673,0.8093645484949833
32,33,UTTAR PRADESH,11784.0,10207.0,3592.0,2580.0,5.0,2575.0,13727.0,11903.0,1824.0,1963.0,290.0,5147.0,4271.0,15194.0,4289.0,10905.0,29922.0,6572.0,20166.0,280.0,360.0,23829.0,9250.0,4189.0,15.0,29853.0,0.0,13053.0,85806.0,65597.0,323551.0,257954.0,0.20274083529335407,0.7972591647066459
24,25,NAGALAND,37.0,47.0,10.0,17.0,0.0,17.0,90.0,13.0,77.0,23.0,0.0,72.0,49.0,267.0,42.0,225.0,7.0,19.0,35.0,9.0,0.0,40.0,0.0,15.0,3.0,3.0,0.0,14.0,309.0,403.0,1440.0,1037.0,0.2798611111111111,0.7201388888888889
22,23,MEGHALAYA,133.0,48.0,6.0,135.0,0.0,135.0,104.0,41.0,63.0,72.0,1.0,69.0,105.0,343.0,73.0,270.0,25.0,26.0,68.0,10.0,28.0,84.0,0.0,29.0,0.0,11.0,0.0,34.0,412.0,807.0,2325.0,1518.0,0.3470967741935484,0.6529032258064517
21,22,MANIPUR,57.0,95.0,0.0,22.0,0.0,22.0,120.0,83.0,37.0,0.0,223.0,0.0,27.0,105.0,32.0,73.0,52.0,8.0,50.0,8.0,2.0,130.0,0.0,23.0,0.0,13.0,0.0,1.0,370.0,659.0,1553.0,894.0,0.42433998712169996,0.5756600128783
